x,y,z,u,v,w,vel_mag,rho,press,fluid,ThID
0.551724, 0.034483, 0.000000, 0.000000, 0.049031, 0.000000, 0.049031, 10.838226, 3.612742, 1, 0
0.586207, 0.034483, 0.000000, 0.000000, 0.049031, 0.000000, 0.049031, 10.838226, 3.612742, 1, 0
0.620690, 0.034483, 0.000000, 0.000000, 0.049031, 0.000000, 0.049031, 10.838226, 3.612742, 1, 0
0.655172, 0.034483, 0.000000, 0.000000, 0.049031, 0.000000, 0.049031, 10.838226, 3.612742, 1, 0
0.689655, 0.034483, 0.000000, 0.000000, 0.049031, 0.000000, 0.049031, 10.838226, 3.612742, 1, 0
0.724138, 0.034483, 0.000000, 0.000000, 0.050541, -0.000000, 0.050541, 10.886459, 3.628820, 1, 0
0.758621, 0.034483, 0.000000, 0.000000, 0.047752, -0.000000, 0.047752, 11.015459, 3.671820, 1, 0
0.793103, 0.034483, 0.000000, -0.000000, 0.045931, -0.000000, 0.045931, 11.241294, 3.747098, 1, 0
0.827586, 0.034483, 0.000000, -0.000000, 0.045511, 0.000000, 0.045511, 9.851456, 3.283819, 1, 0
0.862069, 0.034483, 0.000000, 0.000000, 0.007072, 0.000000, 0.007072, 12.523274, 4.174425, 1, 0
0.896552, 0.034483, 0.000000, -0.000000, -0.018297, -0.000000, 0.018297, 12.756165, 4.252055, 1, 0
0.931034, 0.034483, 0.000000, 0.000000, -0.077717, -0.000000, 0.077717, 9.004585, 3.001528, 1, 0
0.965517, 0.034483, 0.000000, 0.000000, -0.011148, 0.000000, 0.011148, 23.423611, 7.807870, 1, 0
1.000000, 0.034483, 0.000000, 0.000000, -0.038269, 0.000000, 0.038269, 31.871121, 10.623707, 1, 0
0.000000, 0.068966, 0.000000, 0.000000, 0.000878, -0.000000, 0.000878, 5.635902, 1.878634, 1, 0
0.034483, 0.068966, 0.000000, -0.000000, 0.003178, -0.000000, 0.003178, 5.819237, 1.939746, 1, 0
0.068966, 0.068966, 0.000000, 0.000000, -0.019171, -0.000000, 0.019171, 7.058508, 2.352836, 1, 0
0.103448, 0.068966, 0.000000, -0.000000, -0.003878, 0.000000, 0.003878, 9.201113, 3.067038, 1, 0
0.137931, 0.068966, 0.000000, 0.000000, 0.003437, 0.000000, 0.003437, 11.385246, 3.795082, 1, 0
0.172414, 0.068966, 0.000000, 0.000000, 0.003907, 0.000000, 0.003907, 14.107841, 4.702614, 1, 0
0.206897, 0.068966, 0.000000, -0.000000, 0.011591, 0.000000, 0.011591, 16.514431, 5.504810, 1, 0
0.241379, 0.068966, 0.000000, 0.000000, 0.018340, 0.000000, 0.018340, 18.953207, 6.317736, 1, 0
0.275862, 0.068966, 0.000000, 0.000000, 0.020965, 0.000000, 0.020965, 20.638497, 6.879499, 1, 0
0.310345, 0.068966, 0.000000, 0.000000, 0.021545, 0.000000, 0.021545, 21.089613, 7.029871, 1, 0
0.344828, 0.068966, 0.000000, 0.000000, 0.021545, 0.000000, 0.021545, 21.089613, 7.029871, 1, 0
0.379310, 0.068966, 0.000000, 0.000000, 0.021545, 0.000000, 0.021545, 21.089613, 7.029871, 1, 0
0.413793, 0.068966, 0.000000, 0.000000, 0.021545, 0.000000, 0.021545, 21.089613, 7.029871, 1, 0
0.448276, 0.068966, 0.000000, 0.000000, 0.021545, 0.000000, 0.021545, 21.089613, 7.029871, 1, 0
0.482759, 0.068966, 0.000000, 0.000000, 0.021545, 0.000000, 0.021545, 21.089613, 7.029871, 1, 0
0.517241, 0.068966, 0.000000, 0.000000, 0.021545, 0.000000, 0.021545, 21.089613, 7.029871, 1, 0
0.551724, 0.068966, 0.000000, 0.000000, 0.021545, 0.000000, 0.021545, 21.089613, 7.029871, 1, 0
0.586207, 0.068966, 0.000000, 0.000000, 0.021545, 0.000000, 0.021545, 21.089613, 7.029871, 1, 0
0.620690, 0.068966, 0.000000, 0.000000, 0.021545, 0.000000, 0.021545, 21.089613, 7.029871, 1, 0
0.655172, 0.068966, 0.000000, 0.000000, 0.021545, 0.000000, 0.021545, 21.089613, 7.029871, 1, 0
0.689655, 0.068966, 0.000000, 0.000000, 0.021545, 0.000000, 0.021545, 21.089613, 7.029871, 1, 0
0.724138, 0.068966, 0.000000, 0.000000, 0.019861, -0.000000, 0.019861, 20.971597, 6.990532, 1, 0
0.758621, 0.068966, 0.000000, 0.000000, 0.024008, -0.000000, 0.024008, 21.061238, 7.020413, 1, 0
0.793103, 0.068966, 0.000000, -0.000000, 0.023674, -0.000000, 0.023674, 20.048413, 6.682804, 1, 0
0.827586, 0.068966, 0.000000, 0.000000, 0.024351, -0.000000, 0.024351, 19.637419, 6.545806, 1, 0
0.862069, 0.068966, 0.000000, -0.000000, 0.039357, 0.000000, 0.039357, 20.820583, 6.940194, 1, 0
0.896552, 0.068966, 0.000000, -0.000000, 0.049071, 0.000000, 0.049071, 19.387296, 6.462432, 1, 0
0.931034, 0.068966, 0.000000, 0.000000, -0.010466, -0.000000, 0.010466, 16.686259, 5.562086, 1, 0
0.965517, 0.068966, 0.000000, 0.000000, -0.012284, 0.000000, 0.012284, 36.065334, 12.021778, 1, 0
1.000000, 0.068966, 0.000000, 0.000000, -0.018007, 0.000000, 0.018007, 44.687001, 14.895667, 1, 0
0.000000, 0.103448, 0.000000, 0.000000, 0.003627, 0.000000, 0.003627, 5.360593, 1.786864, 1, 0
0.034483, 0.103448, 0.000000, 0.000000, -0.017286, 0.000000, 0.017286, 4.362642, 1.454214, 1, 0
0.068966, 0.103448, 0.000000, 0.000000, -0.056856, 0.000000, 0.056856, 5.309627, 1.769876, 1, 0
0.103448, 0.103448, 0.000000, -0.000000, -0.026185, -0.000000, 0.026185, 7.787577, 2.595859, 1, 0
0.137931, 0.103448, 0.000000, 0.000000, -0.026955, 0.000000, 0.026955, 9.720275, 3.240092, 1, 0
0.172414, 0.103448, 0.000000, -0.000000, -0.023197, -0.000000, 0.023197, 13.225446, 4.408482, 1, 0
0.206897, 0.103448, 0.000000, -0.000000, -0.011038, 0.000000, 0.011038, 16.252619, 5.417540, 1, 0
0.241379, 0.103448, 0.000000, -0.000000, -0.000697, 0.000000, 0.000697, 19.487993, 6.495998, 1, 0
0.275862, 0.103448, 0.000000, 0.000000, 0.003221, -0.000000, 0.003221, 21.675160, 7.225053, 1, 0
0.310345, 0.103448, 0.000000, -0.000000, 0.003921, -0.000000, 0.003921, 22.243061, 7.414354, 1, 0
0.344828, 0.103448, 0.000000, -0.000000, 0.003921, -0.000000, 0.003921, 22.243061, 7.414354, 1, 0
0.379310, 0.103448, 0.000000, -0.000000, 0.003921, -0.000000, 0.003921, 22.243061, 7.414354, 1, 0
0.413793, 0.103448, 0.000000, -0.000000, 0.003921, -0.000000, 0.003921, 22.243061, 7.414354, 1, 0
0.448276, 0.103448, 0.000000, -0.000000, 0.003921, -0.000000, 0.003921, 22.243061, 7.414354, 1, 0
0.482759, 0.103448, 0.000000, -0.000000, 0.003921, -0.000000, 0.003921, 22.243061, 7.414354, 1, 0
0.517241, 0.103448, 0.000000, -0.000000, 0.003921, -0.000000, 0.003921, 22.243061, 7.414354, 1, 0
0.551724, 0.103448, 0.000000, -0.000000, 0.003921, -0.000000, 0.003921, 22.243061, 7.414354, 1, 0
0.586207, 0.103448, 0.000000, -0.000000, 0.003921, -0.000000, 0.003921, 22.243061, 7.414354, 1, 0
0.620690, 0.103448, 0.000000, -0.000000, 0.003921, -0.000000, 0.003921, 22.243061, 7.414354, 1, 0
0.655172, 0.103448, 0.000000, -0.000000, 0.003921, -0.000000, 0.003921, 22.243061, 7.414354, 1, 0
0.689655, 0.103448, 0.000000, -0.000000, 0.003921, -0.000000, 0.003921, 22.243061, 7.414354, 1, 0
0.724138, 0.103448, 0.000000, -0.000000, 0.003497, 0.000000, 0.003497, 22.247005, 7.415668, 1, 0
0.758621, 0.103448, 0.000000, 0.000000, 0.006840, -0.000000, 0.006840, 22.700449, 7.566816, 1, 0
0.793103, 0.103448, 0.000000, 0.000000, 0.002816, -0.000000, 0.002816, 22.402424, 7.467475, 1, 0
0.827586, 0.103448, 0.000000, -0.000000, -0.005270, 0.000000, 0.005270, 23.319768, 7.773256, 1, 0
0.862069, 0.103448, 0.000000, -0.000000, 0.006574, 0.000000, 0.006574, 26.205928, 8.735309, 1, 0
