  ID  j  METAF[j]  F[j]
  961  3 0.51908 0.51908
  961  4 0.51908 0.51908
  961  5 0.51908 0.51908
  961  6 0.51908 0.51908
  961  7 0.32998 0.32998
  961  8 0.20419 0.20419
  961  9 0.00000 0.00000
  961 10 0.00000 0.00000
  961 11 0.00000 0.00000
  961 12 0.00000 0.00000
  961 13 0.00000 0.00000
  961 14 0.00000 0.00000
  961 15 0.00000 0.00000
  961 16 0.00000 0.00000
  961 17 0.00000 0.00000
  961 18 0.00000 0.00000
  962  0 3.11447 3.11447
  962  1 0.65996 0.65996
  962  2 0.40839 0.40839
  962  3 0.51908 0.51908
  962  4 0.51908 0.51908
  962  5 0.51908 0.51908
  962  6 0.51908 0.51908
  962  7 0.32998 0.32998
  962  8 0.20419 0.20419
  962  9 0.00000 0.00000
  962 10 0.00000 0.00000
  962 11 0.00000 0.00000
  962 12 0.00000 0.00000
  962 13 0.00000 0.00000
  962 14 0.00000 0.00000
  962 15 0.00000 0.00000
  962 16 0.00000 0.00000
  962 17 0.00000 0.00000
  962 18 0.00000 0.00000
  963  0 3.11447 3.11447
  963  1 0.65996 0.65996
  963  2 0.40839 0.40839
  963  3 0.51908 0.51908
  963  4 0.51908 0.51908
  963  5 0.51908 0.51908
  963  6 0.51908 0.51908
  963  7 0.32998 0.32998
  963  8 0.20419 0.20419
  963  9 0.00000 0.00000
  963 10 0.00000 0.00000
  963 11 0.00000 0.00000
  963 12 0.00000 0.00000
  963 13 0.00000 0.00000
  963 14 0.00000 0.00000
  963 15 0.00000 0.00000
  963 16 0.00000 0.00000
  963 17 0.00000 0.00000
  963 18 0.00000 0.00000
  964  0 3.11447 3.11447
  964  1 0.65996 0.65996
  964  2 0.40839 0.40839
  964  3 0.51908 0.51908
  964  4 0.51908 0.51908
  964  5 0.51908 0.51908
  964  6 0.51908 0.51908
  964  7 0.32998 0.32998
  964  8 0.20419 0.20419
  964  9 0.00000 0.00000
  964 10 0.00000 0.00000
  964 11 0.00000 0.00000
  964 12 0.00000 0.00000
  964 13 0.00000 0.00000
  964 14 0.00000 0.00000
  964 15 0.00000 0.00000
  964 16 0.00000 0.00000
  964 17 0.00000 0.00000
  964 18 0.00000 0.00000
  965  0 3.11447 3.11447
  965  1 0.65996 0.65996
  965  2 0.40839 0.40839
  965  3 0.51908 0.51908
  965  4 0.51908 0.51908
  965  5 0.51908 0.51908
  965  6 0.51908 0.51908
  965  7 0.32998 0.32998
  965  8 0.20419 0.20419
  965  9 0.00000 0.00000
  965 10 0.00000 0.00000
  965 11 0.00000 0.00000
  965 12 0.00000 0.00000
  965 13 0.00000 0.00000
  965 14 0.00000 0.00000
  965 15 0.00000 0.00000
  965 16 0.00000 0.00000
  965 17 0.00000 0.00000
  965 18 0.00000 0.00000
  966  0 3.11447 3.11447
  966  1 0.65996 0.65996
  966  2 0.40839 0.40839
  966  3 0.51908 0.51908
  966  4 0.51908 0.51908
  966  5 0.51908 0.51908
  966  6 0.51908 0.51908
  966  7 0.32998 0.32998
  966  8 0.20419 0.20419
  966  9 0.00000 0.00000
  966 10 0.00000 0.00000
  966 11 0.00000 0.00000
  966 12 0.00000 0.00000
  966 13 0.00000 0.00000
  966 14 0.00000 0.00000
  966 15 0.00000 0.00000
  966 16 0.00000 0.00000
  966 17 0.00000 0.00000
  966 18 0.00000 0.00000
  967  0 3.11447 3.11447
  967  1 0.65996 0.65996
  967  2 0.40839 0.40839
  967  3 0.51908 0.51908
  967  4 0.51908 0.51908
  967  5 0.51908 0.51908
  967  6 0.51908 0.51908
  967  7 0.32998 0.32998
  967  8 0.20419 0.20419
  967  9 0.00000 0.00000
  967 10 0.00000 0.00000
  967 11 0.00000 0.00000
  967 12 0.00000 0.00000
  967 13 0.00000 0.00000
  967 14 0.00000 0.00000
  967 15 0.00000 0.00000
  967 16 0.00000 0.00000
  967 17 0.00000 0.00000
  967 18 0.00000 0.00000
  968  0 3.11447 3.11447
  968  1 0.65996 0.65996
  968  2 0.40839 0.40839
  968  3 0.51908 0.51908
  968  4 0.51908 0.51908
  968  5 0.51908 0.51908
  968  6 0.51908 0.51908
  968  7 0.32998 0.32998
  968  8 0.20419 0.20419
  968  9 0.00000 0.00000
  968 10 0.00000 0.00000
  968 11 0.00000 0.00000
  968 12 0.00000 0.00000
  968 13 0.00000 0.00000
  968 14 0.00000 0.00000
  968 15 0.00000 0.00000
  968 16 0.00000 0.00000
  968 17 0.00000 0.00000
  968 18 0.00000 0.00000
  969  0 3.11447 3.11447
  969  1 0.65996 0.65996
  969  2 0.40839 0.40839
  969  3 0.51908 0.51908
  969  4 0.51908 0.51908
  969  5 0.51908 0.51908
  969  6 0.51908 0.51908
  969  7 0.32998 0.32998
  969  8 0.20419 0.20419
  969  9 0.00000 0.00000
  969 10 0.00000 0.00000
  969 11 0.00000 0.00000
  969 12 0.00000 0.00000
  969 13 0.00000 0.00000
  969 14 0.00000 0.00000
  969 15 0.00000 0.00000
  969 16 0.00000 0.00000
  969 17 0.00000 0.00000
  969 18 0.00000 0.00000
 1830  0 3.11447 3.11447
 1830  1 0.65996 0.40839
 1830  2 0.40839 0.40839
 1830  3 0.51908 0.51908
 1830  4 0.51908 0.51908
 1830  5 0.51908 0.51908
 1830  6 0.51908 0.51908
 1830  7 0.32998 0.00000
 1830  8 0.20419 0.20419
 1830  9 0.00000 0.20419
 1830 10 0.00000 0.00000
 1830 11 0.00000 0.00000
