0	2	2	2	1	0.000000	0.400000	0.400000	6
0	2	2	8	1	0.000000	0.400000	0.400000	6
0	2	2	10	1	0.000000	0.400000	0.400000	6
0	2	2	12	1	0.000000	0.400000	0.400000	6
0	2	2	14	1	0.000000	0.400000	0.400000	6
0	3	2	2	1	0.000000	0.600000	0.400000	6
0	3	2	8	1	0.000000	0.600000	0.400000	6
0	3	2	10	1	0.000000	0.600000	0.400000	6
0	3	2	12	1	0.000000	0.600000	0.400000	6
0	3	2	14	1	0.000000	0.600000	0.400000	6
0	1	2	2	1	0.000000	0.200000	0.400000	6
0	1	2	8	1	0.000000	0.200000	0.400000	6
0	1	2	10	1	0.000000	0.200000	0.400000	6
0	1	2	12	1	0.000000	0.200000	0.400000	6
0	1	2	14	1	0.000000	0.200000	0.400000	6
0	2	3	2	1	0.000000	0.400000	0.600000	6
0	2	3	8	1	0.000000	0.400000	0.600000	6
0	2	3	10	1	0.000000	0.400000	0.600000	6
0	2	3	12	1	0.000000	0.400000	0.600000	6
0	2	3	14	1	0.000000	0.400000	0.600000	6
0	2	1	2	1	0.000000	0.400000	0.200000	6
0	2	1	8	1	0.000000	0.400000	0.200000	6
0	2	1	10	1	0.000000	0.400000	0.200000	6
0	2	1	12	1	0.000000	0.400000	0.200000	6
0	2	1	14	1	0.000000	0.400000	0.200000	6
2	0	2	4	1	0.400000	0.000000	0.400000	4
2	0	2	9	1	0.400000	0.000000	0.400000	4
2	0	2	10	1	0.400000	0.000000	0.400000	4
2	0	2	16	1	0.400000	0.000000	0.400000	4
2	0	2	18	1	0.400000	0.000000	0.400000	4
3	0	2	4	1	0.600000	0.000000	0.400000	4
3	0	2	9	1	0.600000	0.000000	0.400000	4
3	0	2	10	1	0.600000	0.000000	0.400000	4
3	0	2	16	1	0.600000	0.000000	0.400000	4
3	0	2	18	1	0.600000	0.000000	0.400000	4
1	0	2	4	1	0.200000	0.000000	0.400000	4
1	0	2	9	1	0.200000	0.000000	0.400000	4
1	0	2	10	1	0.200000	0.000000	0.400000	4
1	0	2	16	1	0.200000	0.000000	0.400000	4
1	0	2	18	1	0.200000	0.000000	0.400000	4
2	0	3	4	1	0.400000	0.000000	0.600000	4
2	0	3	9	1	0.400000	0.000000	0.600000	4
2	0	3	10	1	0.400000	0.000000	0.600000	4
2	0	3	16	1	0.400000	0.000000	0.600000	4
2	0	3	18	1	0.400000	0.000000	0.600000	4
2	0	1	4	1	0.400000	0.000000	0.200000	4
2	0	1	9	1	0.400000	0.000000	0.200000	4
2	0	1	10	1	0.400000	0.000000	0.200000	4
2	0	1	16	1	0.400000	0.000000	0.200000	4
2	0	1	18	1	0.400000	0.000000	0.200000	4
2	2	0	6	1	0.400000	0.400000	0.000000	1
2	2	0	13	1	0.400000	0.400000	0.000000	1
2	2	0	14	1	0.400000	0.400000	0.000000	1
2	2	0	17	1	0.400000	0.400000	0.000000	1
2	2	0	18	1	0.400000	0.400000	0.000000	1
3	2	0	6	1	0.600000	0.400000	0.000000	1
3	2	0	13	1	0.600000	0.400000	0.000000	1
3	2	0	14	1	0.600000	0.400000	0.000000	1
3	2	0	17	1	0.600000	0.400000	0.000000	1
3	2	0	18	1	0.600000	0.400000	0.000000	1
1	2	0	6	1	0.200000	0.400000	0.000000	1
1	2	0	13	1	0.200000	0.400000	0.000000	1
1	2	0	14	1	0.200000	0.400000	0.000000	1
1	2	0	17	1	0.200000	0.400000	0.000000	1
1	2	0	18	1	0.200000	0.400000	0.000000	1
2	3	0	6	1	0.400000	0.600000	0.000000	1
2	3	0	13	1	0.400000	0.600000	0.000000	1
2	3	0	14	1	0.400000	0.600000	0.000000	1
2	3	0	17	1	0.400000	0.600000	0.000000	1
2	3	0	18	1	0.400000	0.600000	0.000000	1
2	1	0	6	1	0.400000	0.200000	0.000000	1
2	1	0	13	1	0.400000	0.200000	0.000000	1
2	1	0	14	1	0.400000	0.200000	0.000000	1
2	1	0	17	1	0.400000	0.200000	0.000000	1
2	1	0	18	1	0.400000	0.200000	0.000000	1
0	4	2	2	1	0.000000	0.800000	0.400000	6
0	4	2	8	1	0.000000	0.800000	0.400000	6
0	4	2	10	1	0.000000	0.800000	0.400000	6
0	4	2	12	1	0.000000	0.800000	0.400000	6
0	4	2	14	1	0.000000	0.800000	0.400000	6
0	3	3	2	1	0.000000	0.600000	0.600000	6
0	3	3	8	1	0.000000	0.600000	0.600000	6
0	3	3	10	1	0.000000	0.600000	0.600000	6
0	3	3	12	1	0.000000	0.600000	0.600000	6
0	3	3	14	1	0.000000	0.600000	0.600000	6
0	3	1	2	1	0.000000	0.600000	0.200000	6
0	3	1	8	1	0.000000	0.600000	0.200000	6
0	3	1	10	1	0.000000	0.600000	0.200000	6
0	3	1	12	1	0.000000	0.600000	0.200000	6
0	3	1	14	1	0.000000	0.600000	0.200000	6
4	0	2	4	1	0.800000	0.000000	0.400000	4
4	0	2	9	1	0.800000	0.000000	0.400000	4
4	0	2	10	1	0.800000	0.000000	0.400000	4
4	0	2	16	1	0.800000	0.000000	0.400000	4
4	0	2	18	1	0.800000	0.000000	0.400000	4
3	0	3	4	1	0.600000	0.000000	0.600000	4
3	0	3	9	1	0.600000	0.000000	0.600000	4
3	0	3	10	1	0.600000	0.000000	0.600000	4
3	0	3	16	1	0.600000	0.000000	0.600000	4
3	0	3	18	1	0.600000	0.000000	0.600000	4
3	0	1	4	1	0.600000	0.000000	0.200000	4
3	0	1	9	1	0.600000	0.000000	0.200000	4
3	0	1	10	1	0.600000	0.000000	0.200000	4
