"u","v","w","vel_mag","f00","f01","f02","f03","f04","f05","f06","f07","f08","f09","f10","f11","f12","f13","f14","f15","f16","f17","f18","rho","press","fluid","ThID","Points:0","Points:1","Points:2"
0,-0.009404,-0,0.009404,6.9513,0.93878,1.075,1.1698,1.1513,1.2471,1.2471,0.4393,0.56374,0.4393,0.56374,1.7702,1.3085,1.501,1.5777,0.020165,2.2398,2.2305,0.029432,26.464,8.8212,1,0,0.96552,0.31034,0
0.60372,0.67287,-0.044695,0.90512,0.20138,2.8576,-0.48449,3.7354,-0.2417,1.0373,-0.42025,4.3771,0.76643,4.3771,0.76643,0.79508,0.20883,1.9228,-0.46632,0.57693,-0.08422,2.8649,-0.36488,22.425,7.4751,1,0,0.93103,0.31034,0.034483
0.45649,0.55973,-0.1423,0.73616,3.6513,3.2963,1.1581,3.5968,-0.07048,1.0815,0.99698,5.0317,0.056272,5.0317,0.056272,0.49874,0.25067,2.6212,0.59778,0.75423,0.002022,3.0428,-0.19517,31.459,10.486,1,0,0.96552,0.34483,0.034483
0.60372,0.67287,-0.044695,0.90512,0.20138,2.8576,-0.48449,3.7354,-0.2417,1.0373,-0.42025,4.3771,0.76643,4.3771,0.76643,0.79508,0.20883,1.9228,-0.46632,0.57693,-0.08422,2.8649,-0.36488,22.425,7.4751,1,0,0.93103,0.34483,0.034483
-0,-0.028993,-0,0.028993,5.2733,0.66724,1.1751,0.85443,0.91077,0.47218,0.47218,0.35424,0.60982,0.35424,0.60982,0.34183,0.85496,1.3645,-0.1677,0.027633,1.7143,1.7425,-0.000539,17.631,5.8769,1,0,0.93103,0.31034,0
0,-0.009404,-0,0.009404,6.9513,0.93878,1.075,1.1698,1.1513,1.2471,1.2471,0.4393,0.56374,0.4393,0.56374,1.7702,1.3085,1.501,1.5777,0.020165,2.2398,2.2305,0.029432,26.464,8.8212,1,0,0.96552,0.34483,0
0,0,0,0,9.3484,1.1699,1.1699,1.2492,1.2492,1.5583,1.5583,0.6262,0.6262,0.6262,0.6262,0.77903,1.7813,1.7813,0.77903,0.77913,0.77913,0.77913,0.77913,28.045,9.3484,1,0,1,0.34483,0
0,0,0,0,9.3484,1.1699,1.1699,1.2492,1.2492,1.5583,1.5583,0.6262,0.6262,0.6262,0.6262,0.77903,1.7813,1.7813,0.77903,0.77913,0.77913,0.77913,0.77913,28.045,9.3484,1,0,1,0.41379,0
0.45649,0.55973,-0.1423,0.73616,3.6513,3.2963,1.1581,3.5968,-0.07048,1.0815,0.99698,5.0317,0.056272,5.0317,0.056272,0.49874,0.25067,2.6212,0.59778,0.75423,0.002022,3.0428,-0.19517,31.459,10.486,1,0,0.96552,0.41379,0.034483
-0,0,0,0,10.166,2.8489,2.8489,1.6944,1.6944,1.1362,2.1425,3.4197,3.4197,3.4197,3.4197,0.17948,3.7306,2.7243,-0.82683,0.5681,0.5681,1.0712,1.0712,45.297,15.099,1,0,1,0.44828,0.034483
0.45649,0.55973,-0.1423,0.73616,3.6513,3.2963,1.1581,3.5968,-0.07048,1.0815,0.99698,5.0317,0.056272,5.0317,0.056272,0.49874,0.25067,2.6212,0.59778,0.75423,0.002022,3.0428,-0.19517,31.459,10.486,1,0,0.96552,0.44828,0.034483
0,-0.009404,-0,0.009404,6.9513,0.93878,1.075,1.1698,1.1513,1.2471,1.2471,0.4393,0.56374,0.4393,0.56374,1.7702,1.3085,1.501,1.5777,0.020165,2.2398,2.2305,0.029432,26.464,8.8212,1,0,0.96552,0.41379,0
0,0,0,0,9.3484,1.1699,1.1699,1.2492,1.2492,1.5583,1.5583,0.6262,0.6262,0.6262,0.6262,0.77903,1.7813,1.7813,0.77903,0.77913,0.77913,0.77913,0.77913,28.045,9.3484,1,0,1,0.44828,0
1.3857,1.0869,0.04656,1.7617,-3.4597,2.6825,0.023774,1.8128,-0.071512,0.97575,-1.17,0.1204,-1.681,3.3943,0.72935,0.56087,-0.27262,1.8726,0.013867,0.554,0.11372,0.89713,-0.011799,7.0845,2.3615,1,0,0.82759,0.034483,0.034483
2.303,1.7025,-0.029782,2.8642,-6.7818,3.431,0.17666,1.9415,0.006852,-1.3387,-0.77726,0.064298,-1.8433,3.9169,0.91757,1.8538,0.13033,1.4629,-0.015757,0.73298,0.10037,0.94107,0.014769,4.9341,1.6447,1,0,0.7931,0.034483,0.068966
