"u","v","w","vel_mag","f00","f01","f02","f03","f04","f05","f06","f07","f08","f09","f10","f11","f12","f13","f14","f15","f16","f17","f18","rho","press","fluid","ThID","Points:0","Points:1","Points:2"
0,0.005739,-0,0.005739,4.3067,0.74103,0.78391,0.79776,0.81897,0.47467,0.47467,0.34088,0.38525,0.42619,0.38434,0.003425,1.0982,1.1209,-0.019278,-0.34875,1.4143,1.4671,-0.40156,14.269,4.7562,1,0,0.2069,0.93103,0
0.46544,0.55703,-0.041452,0.72708,1.0182,2.2387,-0.16294,2.9272,-0.43744,0.84553,0.005197,3.1721,1.1268,3.6037,1.418,0.54867,-0.41568,1.1798,-0.17568,0.71801,0.069769,2.0122,-0.45792,19.234,6.4114,1,0,0.2069,0.93103,0.034483
-0,0.007236,0,0.007236,4.417,0.70557,0.78391,0.82129,0.82915,0.47747,0.47747,0.37045,0.38525,0.44063,0.38434,-0.000856,1.4356,1.454,-0.019278,-0.3788,1.552,1.5906,-0.41737,15.308,5.1028,1,0,0.24138,0.93103,0
0.53915,0.57405,-0.055717,0.78951,0.80277,2.8966,-0.16294,3.0715,-0.46673,0.86392,-0.042438,4.1542,1.1268,4.3803,1.418,0.65764,-0.41568,1.7159,-0.17568,0.72774,0.077098,2.1339,-0.47937,22.284,7.4278,1,0,0.24138,0.93103,0.034483
-0,0.007604,-0,0.007604,4.417,0.67541,0.78391,0.82129,0.82915,0.47747,0.47747,0.38027,0.38525,0.44441,0.38434,0.007423,1.5625,1.5892,-0.019278,-0.38182,1.555,1.5906,-0.41737,15.562,5.1874,1,0,0.27586,0.93103,0
0.55731,0.5726,-0.059831,0.80128,0.80277,3.0987,-0.16294,3.0715,-0.46673,0.86392,-0.042438,4.4329,1.1268,4.5929,1.418,0.69485,-0.41568,1.8995,-0.17568,0.72774,0.077098,2.1339,-0.47937,23.198,7.7326,1,0,0.27586,0.93103,0.034483
-0,0.007604,-0,0.007604,4.417,0.67541,0.78391,0.82129,0.82915,0.47747,0.47747,0.38027,0.38525,0.44441,0.38434,0.007423,1.5625,1.5892,-0.019278,-0.38182,1.555,1.5906,-0.41737,15.562,5.1874,1,0,0.31034,0.93103,0
0.55731,0.5726,-0.059831,0.80128,0.80277,3.0987,-0.16294,3.0715,-0.46673,0.86392,-0.042438,4.4329,1.1268,4.5929,1.418,0.69485,-0.41568,1.8995,-0.17568,0.72774,0.077098,2.1339,-0.47937,23.198,7.7326,1,0,0.31034,0.93103,0.034483
-0,0.007604,-0,0.007604,4.417,0.67541,0.78391,0.82129,0.82915,0.47747,0.47747,0.38027,0.38525,0.44441,0.38434,0.007423,1.5625,1.5892,-0.019278,-0.38182,1.555,1.5906,-0.41737,15.562,5.1874,1,0,0.34483,0.93103,0
0.55731,0.5726,-0.059831,0.80128,0.80277,3.0987,-0.16294,3.0715,-0.46673,0.86392,-0.042438,4.4329,1.1268,4.5929,1.418,0.69485,-0.41568,1.8995,-0.17568,0.72774,0.077098,2.1339,-0.47937,23.198,7.7326,1,0,0.34483,0.93103,0.034483
-0,0.007604,-0,0.007604,4.417,0.67541,0.78391,0.82129,0.82915,0.47747,0.47747,0.38027,0.38525,0.44441,0.38434,0.007423,1.5625,1.5892,-0.019278,-0.38182,1.555,1.5906,-0.41737,15.562,5.1874,1,0,0.37931,0.93103,0
0.55731,0.5726,-0.059831,0.80128,0.80277,3.0987,-0.16294,3.0715,-0.46673,0.86392,-0.042438,4.4329,1.1268,4.5929,1.418,0.69485,-0.41568,1.8995,-0.17568,0.72774,0.077098,2.1339,-0.47937,23.198,7.7326,1,0,0.37931,0.93103,0.034483
-0,0.007604,-0,0.007604,4.417,0.67541,0.78391,0.82129,0.82915,0.47747,0.47747,0.38027,0.38525,0.44441,0.38434,0.007423,1.5625,1.5892,-0.019278,-0.38182,1.555,1.5906,-0.41737,15.562,5.1874,1,0,0.41379,0.93103,0
0.55731,0.5726,-0.059831,0.80128,0.80277,3.0987,-0.16294,3.0715,-0.46673,0.86392,-0.042438,4.4329,1.1268,4.5929,1.418,0.69485,-0.41568,1.8995,-0.17568,0.72774,0.077098,2.1339,-0.47937,23.198,7.7326,1,0,0.41379,0.93103,0.034483
-0,0.007604,-0,0.007604,4.417,0.67541,0.78391,0.82129,0.82915,0.47747,0.47747,0.38027,0.38525,0.44441,0.38434,0.007423,1.5625,1.5892,-0.019278,-0.38182,1.555,1.5906,-0.41737,15.562,5.1874,1,0,0.44828,0.93103,0
0.55731,0.5726,-0.059831,0.80128,0.80277,3.0987,-0.16294,3.0715,-0.46673,0.86392,-0.042438,4.4329,1.1268,4.5929,1.418,0.69485,-0.41568,1.8995,-0.17568,0.72774,0.077098,2.1339,-0.47937,23.198,7.7326,1,0,0.44828,0.93103,0.034483
-0,0.007604,-0,0.007604,4.417,0.67541,0.78391,0.82129,0.82915,0.47747,0.47747,0.38027,0.38525,0.44441,0.38434,0.007423,1.5625,1.5892,-0.019278,-0.38182,1.555,1.5906,-0.41737,15.562,5.1874,1,0,0.48276,0.93103,0
0.55731,0.5726,-0.059831,0.80128,0.80277,3.0987,-0.16294,3.0715,-0.46673,0.86392,-0.042438,4.4329,1.1268,4.5929,1.418,0.69485,-0.41568,1.8995,-0.17568,0.72774,0.077098,2.1339,-0.47937,23.198,7.7326,1,0,0.48276,0.93103,0.034483
-0,0.007604,-0,0.007604,4.417,0.67541,0.78391,0.82129,0.82915,0.47747,0.47747,0.38027,0.38525,0.44441,0.38434,0.007423,1.5625,1.5892,-0.019278,-0.38182,1.555,1.5906,-0.41737,15.562,5.1874,1,0,0.51724,0.93103,0
0.55731,0.5726,-0.059831,0.80128,0.80277,3.0987,-0.16294,3.0715,-0.46673,0.86392,-0.042438,4.4329,1.1268,4.5929,1.418,0.69485,-0.41568,1.8995,-0.17568,0.72774,0.077098,2.1339,-0.47937,23.198,7.7326,1,0,0.51724,0.93103,0.034483
-0,0.007604,-0,0.007604,4.417,0.67541,0.78391,0.82129,0.82915,0.47747,0.47747,0.38027,0.38525,0.44441,0.38434,0.007423,1.5625,1.5892,-0.019278,-0.38182,1.555,1.5906,-0.41737,15.562,5.1874,1,0,0.55172,0.93103,0
0.55731,0.5726,-0.059831,0.80128,0.80277,3.0987,-0.16294,3.0715,-0.46673,0.86392,-0.042438,4.4329,1.1268,4.5929,1.418,0.69485,-0.41568,1.8995,-0.17568,0.72774,0.077098,2.1339,-0.47937,23.198,7.7326,1,0,0.55172,0.93103,0.034483
-0,0.007604,-0,0.007604,4.417,0.67541,0.78391,0.82129,0.82915,0.47747,0.47747,0.38027,0.38525,0.44441,0.38434,0.007423,1.5625,1.5892,-0.019278,-0.38182,1.555,1.5906,-0.41737,15.562,5.1874,1,0,0.58621,0.93103,0
0.55731,0.5726,-0.059831,0.80128,0.80277,3.0987,-0.16294,3.0715,-0.46673,0.86392,-0.042438,4.4329,1.1268,4.5929,1.418,0.69485,-0.41568,1.8995,-0.17568,0.72774,0.077098,2.1339,-0.47937,23.198,7.7326,1,0,0.58621,0.93103,0.034483
-0,0.007604,-0,0.007604,4.417,0.67541,0.78391,0.82129,0.82915,0.47747,0.47747,0.38027,0.38525,0.44441,0.38434,0.007423,1.5625,1.5892,-0.019278,-0.38182,1.555,1.5906,-0.41737,15.562,5.1874,1,0,0.62069,0.93103,0
0.55731,0.5726,-0.059831,0.80128,0.80277,3.0987,-0.16294,3.0715,-0.46673,0.86392,-0.042438,4.4329,1.1268,4.5929,1.418,0.69485,-0.41568,1.8995,-0.17568,0.72774,0.077098,2.1339,-0.47937,23.198,7.7326,1,0,0.62069,0.93103,0.034483
-0,0.007604,-0,0.007604,4.417,0.67541,0.78391,0.82129,0.82915,0.47747,0.47747,0.38027,0.38525,0.44441,0.38434,0.007423,1.5625,1.5892,-0.019278,-0.38182,1.555,1.5906,-0.41737,15.562,5.1874,1,0,0.65517,0.93103,0
0.55731,0.5726,-0.059831,0.80128,0.80277,3.0987,-0.16294,3.0715,-0.46673,0.86392,-0.042438,4.4329,1.1268,4.5929,1.418,0.69485,-0.41568,1.8995,-0.17568,0.72774,0.077098,2.1339,-0.47937,23.198,7.7326,1,0,0.65517,0.93103,0.034483
-0,0.007604,-0,0.007604,4.417,0.67541,0.78391,0.82129,0.82915,0.47747,0.47747,0.38027,0.38525,0.44441,0.38434,0.007423,1.5625,1.5892,-0.019278,-0.38182,1.555,1.5906,-0.41737,15.562,5.1874,1,0,0.68966,0.93103,0
0.55731,0.5726,-0.059831,0.80128,0.80277,3.0987,-0.16294,3.0715,-0.46673,0.86392,-0.042438,4.4329,1.1268,4.5929,1.418,0.69485,-0.41568,1.8995,-0.17568,0.72774,0.077098,2.1339,-0.47937,23.198,7.7326,1,0,0.68966,0.93103,0.034483
-0,0.007604,-0,0.007604,4.417,0.67541,0.78391,0.82129,0.82915,0.47747,0.47747,0.38027,0.38525,0.44441,0.38434,0.007423,1.5625,1.5892,-0.019278,-0.38182,1.555,1.5906,-0.41737,15.562,5.1874,1,0,0.72414,0.93103,0
0.55731,0.5726,-0.059831,0.80128,0.80277,3.0987,-0.16294,3.0715,-0.46673,0.86392,-0.042438,4.4329,1.1268,4.5929,1.418,0.69485,-0.41568,1.8995,-0.17568,0.72774,0.077098,2.1339,-0.47937,23.198,7.7326,1,0,0.72414,0.93103,0.034483
-0,0.0079,-0,0.0079,4.417,0.67541,0.73076,0.82129,0.82915,0.47747,0.47747,0.38027,0.38272,0.44441,0.37805,0.036587,1.5935,1.5892,0.040871,-0.3837,1.5569,1.5906,-0.41737,15.621,5.2069,1,0,0.75862,0.93103,0
0.5658,0.58782,-0.063852,0.81838,0.80277,3.0987,-0.1205,3.0715,-0.46673,0.86392,-0.042438,4.4329,0.99297,4.5929,1.2728,0.69485,-0.4029,1.8995,-0.077649,0.72774,0.077098,2.1339,-0.47937,23.072,7.6907,1,0,0.75862,0.93103,0.034483
0,0.00672,-0,0.00672,4.3373,0.67541,0.67695,0.8139,0.81669,0.46965,0.46965,0.38027,0.39403,0.44441,0.39987,-0.17172,1.6038,1.5892,-0.1571,-0.36526,1.4918,1.5282,-0.40164,14.995,4.9985,1,0,0.7931,0.93103,0
0.57137,0.56639,-0.052964,0.80627,0.83514,3.0987,-0.40007,2.985,-0.44914,0.85062,-0.007629,4.4329,1.1895,4.5929,1.4845,0.69485,-0.35477,1.8995,-0.31417,0.7202,0.07234,2.0935,-0.47231,22.952,7.6505,1,0,0.7931,0.93103,0.034483
-0,0.004975,0,0.004975,4.5148,0.66212,0.69575,0.84371,0.85798,0.45159,0.45159,0.37657,0.40064,0.44023,0.34408,0.012881,1.6079,1.5886,0.032101,-0.40195,1.7181,1.7288,-0.41263,15.913,5.3043,1,0,0.82759,0.93103,0
0.60554,0.6449,-0.061768,0.88678,0.2654,3.1277,-0.038382,3.1851,-0.40654,0.87456,-0.15139,4.2902,0.68966,4.4896,1.0017,0.74442,-0.37605,1.8749,-0.10067,0.75426,0.043338,2.3034,-0.5239,22.047,7.3491,1,0,0.82759,0.93103,0.034483
0,0.015822,0,0.015822,4.5131,0.6919,0.56202,0.86668,0.79631,0.54408,0.54408,0.38868,0.33577,0.46386,0.39116,-0.13857,1.7959,1.6682,-0.010823,-0.25736,1.6465,1.6766,-0.28745,16.191,5.3969,1,0,0.86207,0.93103,0
0.58025,0.55533,-0.071667,0.80636,1.0799,3.0864,-0.44058,2.9294,-0.39156,0.82214,0.375,4.5626,1.0004,4.6481,1.4017,0.68225,-0.35459,1.9634,-0.30113,0.71949,0.10136,1.9606,-0.34296,23.502,7.8339,1,0,0.86207,0.93103,0.034483
0,0.006189,0,0.006189,3.8738,0.66861,0.63632,0.70489,0.86593,0.24832,0.24832,0.39935,0.38122,0.42407,0.42714,-0.093074,1.6727,1.649,-0.069395,-0.25527,1.1614,1.2773,-0.37112,13.85,4.6165,1,0,0.89655,0.93103,0
0.57669,0.56503,0.03078,0.80795,-0.26797,3.2027,-0.49202,3.1202,-0.19066,0.96813,-0.65873,3.5489,1.6811,4.092,0.64396,0.73139,0.33965,1.993,-0.44308,0.65714,0.21475,1.959,-0.57108,20.528,6.8428,1,0,0.89655,0.93103,0.034483
0,-0.018929,0,0.018929,5.3906,0.58602,1.2354,0.80421,1.0551,0.62557,0.62557,0.33178,0.61349,0.45215,0.71095,0.40983,0.40248,0.99742,-0.18512,0.081056,1.4144,1.6488,-0.1533,17.046,5.6821,1,0,0.93103,0.93103,0
0.59409,0.69903,-0.050307,0.91875,0.5398,2.718,-0.45611,3.8028,-0.32561,0.98173,-0.46081,4.1107,0.73935,4.3657,0.61589,0.69295,0.068771,1.7973,-0.43522,0.71613,-0.00265,3.088,-0.41871,22.138,7.3793,1,0,0.93103,0.93103,0.034483
-0,-0.009913,0,0.009913,7.2567,1.0213,1.053,1.2001,1.2882,1.3453,1.3453,0.41739,0.57175,0.43871,0.50292,1.6856,1.4851,1.6102,1.5605,-0.077422,2.1068,2.127,-0.097702,26.841,8.9469,1,0,0.96552,0.93103,0
0.45145,0.54338,-0.14239,0.72065,3.7058,3.397,1.2012,3.5264,0.30405,1,0.92621,5.4018,0.074892,4.4989,-0.0476,0.46155,0.22353,2.5707,0.63581,0.7921,0.019386,3.0648,-0.20898,31.548,10.516,1,0,0.96552,0.93103,0.034483
0,0.005051,0,0.005051,9.2885,1.1761,1.1761,1.2632,1.1693,1.5218,1.5218,0.64178,0.6899,0.66644,0.61832,0.77404,1.8837,1.8837,0.77404,0.67095,0.73743,0.76089,0.64749,27.866,9.2885,1,0,1,0.93103,0
0,0.013587,0,0.013587,10.135,2.9796,2.9796,1.6664,1.4184,1.116,2.1653,3.3104,3.4704,3.6131,3.4531,0.20894,3.5474,2.6519,-0.68659,0.59529,0.51815,1.0708,0.78447,44.998,14.999,1,0,1,0.93103,0.034483
-0,0.013918,0,0.013918,2.1026,0.45092,0.3427,0.34317,0.36967,0.31845,0.31845,0.26905,0.16729,0.20903,0.43488,0.14928,0.053924,0.061856,0.14135,0.098476,0.034031,0.15106,-0.018556,5.9977,1.9992,1,0,0.034483,0.96552,0
0,-0.002835,0,0.002835,2.067,0.44213,0.44213,0.31203,0.32375,0.32975,0.32975,0.25272,0.15229,0.15522,0.25565,0.17002,0.17225,0.17225,0.17002,0.11388,0.11312,0.11019,0.11681,6.2009,2.067,1,0,0,0.96552,0
-0.073231,0.061344,0.09845,0.13718,2.2117,0.31598,0.35193,0.44173,0.26439,0.27653,0.32183,0.29014,0.16819,0.17037,0.47227,0.17592,0.46136,0.10808,0.10974,0.32501,0.19023,0.25119,-0.038002,6.8686,2.2895,1,0,0.034483,0.96552,0.034483
0,0.003265,0,0.003265,1.985,0.53629,0.53629,0.24015,0.30194,0.24344,0.35158,0.26717,0.20422,0.12173,0.18468,0.18795,0.2491,0.20795,0.14679,0.1128,0.085272,0.11327,0.058972,6.1346,2.0449,1,0,0,0.96552,0.034483
0,-0.026986,-0,0.026986,2.3174,0.31824,0.50975,0.34397,0.59678,0.3129,0.3129,0.12043,0.18743,0.09511,0.47388,0.45012,-0.19239,0.12625,0.13148,0.45315,-0.084093,0.17287,0.19618,6.8424,2.2808,1,0,0.068966,0.96552,0
0.065404,0.22328,0.071133,0.24329,2.075,0.31384,0.21638,0.55639,-0.076974,0.35989,0.31883,0.22938,-0.056583,0.47172,0.3442,0.22664,0.37216,0.17247,0.11336,0.31149,0.16956,0.31694,0.056415,6.4911,2.1637,1,0,0.068966,0.96552,0.034483
-0,-0.026072,0,0.026072,3.423,0.54555,0.75339,0.46028,0.81569,0.37445,0.37445,0.15822,0.25024,0.11917,0.53789,0.48355,-0.13576,0.22353,0.12426,0.80742,-0.03388,0.26812,0.50542,10.055,3.3517,1,0,0.10345,0.96552,0
0.18155,0.2594,-0.013356,0.3169,2.0727,0.71006,0.18031,0.89464,0.23282,0.63236,0.54145,0.37777,0.013969,0.54618,-0.033968,0.012166,0.26804,0.35195,0.101,0.41651,0.16466,0.42415,0.18324,8.09,2.6967,1,0,0.10345,0.96552,0.034483
0,-0.007449,-0,0.007449,4.4148,0.61829,0.91146,0.57286,0.9049,0.5412,0.5412,0.22231,0.30824,0.25805,0.5065,0.35335,0.12223,0.436,0.039574,1.087,0.27536,0.55838,0.80402,13.476,4.4919,1,0,0.13793,0.96552,0
0.28248,0.3148,-0.069989,0.42872,2.7606,0.99423,0.06324,1.7092,0.42981,0.86578,0.74951,0.7123,0.5282,0.74448,-0.47928,0.28954,-0.039322,0.66318,-0.019485,0.52279,0.14499,0.94465,0.27602,11.86,3.9535,1,0,0.13793,0.96552,0.034483
0,0.009916,0,0.009916,5.2303,0.8937,0.97974,0.68034,0.98884,0.62615,0.62615,0.29584,0.34917,0.43542,0.47968,0.072613,0.84336,0.93518,-0.019201,1.2305,0.75917,1.0485,0.94116,17.397,5.7988,1,0,0.17241,0.96552,0
0.38094,0.39609,-0.095614,0.5578,2.5956,1.5925,0.000897,2.6252,0.59062,1.0496,0.76056,1.873,0.95171,1.0312,-0.67635,0.51045,-0.2688,1.172,-0.092588,0.71891,0.13379,1.5707,0.3056,16.445,5.4815,1,0,0.17241,0.96552,0.034483
-0,0.017522,0,0.017522,5.592,0.95698,0.99295,0.74471,1.0025,0.67909,0.67909,0.32982,0.35829,0.53393,0.48719,-0.02316,1.4191,1.428,-0.032008,1.3004,1.1497,1.4451,1.005,20.049,6.6829,1,0,0.2069,0.96552,0
0.45624,0.44211,-0.10647,0.64417,2.2436,2.3382,-0.006529,3.1275,0.62801,1.126,0.72018,3.2622,1.0801,1.2402,-0.70795,0.7144,-0.31829,1.6049,-0.10888,0.78578,0.11936,2.0014,0.36163,20.212,6.7372,1,0,0.2069,0.96552,0.034483
0,0.01886,0,0.01886,5.6713,0.9186,0.99295,0.76326,1.0353,0.69782,0.69782,0.34924,0.35829,0.55591,0.48719,-0.024669,1.6618,1.6692,-0.032008,1.317,1.2606,1.5644,1.0132,20.957,6.9857,1,0,0.24138,0.96552,0
0.49732,0.45646,-0.10943,0.68385,2.1565,2.7507,-0.006529,3.2728,0.63479,1.1392,0.70367,4.1652,1.0801,1.3419,-0.70795,0.82582,-0.31829,1.9393,-0.10888,0.79857,0.13572,2.112,0.374,22.289,7.4295,1,0,0.24138,0.96552,0.034483
0,0.020443,0,0.020443,5.6713,0.88445,0.99295,0.76326,1.0353,0.69782,0.69782,0.35125,0.35829,0.57389,0.48719,-0.017593,1.73,1.7444,-0.032008,1.325,1.2526,1.5644,1.0132,21.093,7.0311,1,0,0.27586,0.96552,0
0.50844,0.45828,-0.11046,0.69335,2.1565,2.8395,-0.006529,3.2728,0.63479,1.1392,0.70367,4.4315,1.0801,1.3475,-0.70795,0.85836,-0.31829,2.0506,-0.10888,0.79857,0.13572,2.112,0.374,22.793,7.5977,1,0,0.27586,0.96552,0.034483
0,0.020443,0,0.020443,5.6713,0.88445,0.99295,0.76326,1.0353,0.69782,0.69782,0.35125,0.35829,0.57389,0.48719,-0.017593,1.73,1.7444,-0.032008,1.325,1.2526,1.5644,1.0132,21.093,7.0311,1,0,0.31034,0.96552,0
0.50844,0.45828,-0.11046,0.69335,2.1565,2.8395,-0.006529,3.2728,0.63479,1.1392,0.70367,4.4315,1.0801,1.3475,-0.70795,0.85836,-0.31829,2.0506,-0.10888,0.79857,0.13572,2.112,0.374,22.793,7.5977,1,0,0.31034,0.96552,0.034483
0,0.020443,0,0.020443,5.6713,0.88445,0.99295,0.76326,1.0353,0.69782,0.69782,0.35125,0.35829,0.57389,0.48719,-0.017593,1.73,1.7444,-0.032008,1.325,1.2526,1.5644,1.0132,21.093,7.0311,1,0,0.34483,0.96552,0
0.50844,0.45828,-0.11046,0.69335,2.1565,2.8395,-0.006529,3.2728,0.63479,1.1392,0.70367,4.4315,1.0801,1.3475,-0.70795,0.85836,-0.31829,2.0506,-0.10888,0.79857,0.13572,2.112,0.374,22.793,7.5977,1,0,0.34483,0.96552,0.034483
0,0.020443,0,0.020443,5.6713,0.88445,0.99295,0.76326,1.0353,0.69782,0.69782,0.35125,0.35829,0.57389,0.48719,-0.017593,1.73,1.7444,-0.032008,1.325,1.2526,1.5644,1.0132,21.093,7.0311,1,0,0.37931,0.96552,0
0.50844,0.45828,-0.11046,0.69335,2.1565,2.8395,-0.006529,3.2728,0.63479,1.1392,0.70367,4.4315,1.0801,1.3475,-0.70795,0.85836,-0.31829,2.0506,-0.10888,0.79857,0.13572,2.112,0.374,22.793,7.5977,1,0,0.37931,0.96552,0.034483
0,0.020443,0,0.020443,5.6713,0.88445,0.99295,0.76326,1.0353,0.69782,0.69782,0.35125,0.35829,0.57389,0.48719,-0.017593,1.73,1.7444,-0.032008,1.325,1.2526,1.5644,1.0132,21.093,7.0311,1,0,0.41379,0.96552,0
0.50844,0.45828,-0.11046,0.69335,2.1565,2.8395,-0.006529,3.2728,0.63479,1.1392,0.70367,4.4315,1.0801,1.3475,-0.70795,0.85836,-0.31829,2.0506,-0.10888,0.79857,0.13572,2.112,0.374,22.793,7.5977,1,0,0.41379,0.96552,0.034483
0,0.020443,0,0.020443,5.6713,0.88445,0.99295,0.76326,1.0353,0.69782,0.69782,0.35125,0.35829,0.57389,0.48719,-0.017593,1.73,1.7444,-0.032008,1.325,1.2526,1.5644,1.0132,21.093,7.0311,1,0,0.44828,0.96552,0
0.50844,0.45828,-0.11046,0.69335,2.1565,2.8395,-0.006529,3.2728,0.63479,1.1392,0.70367,4.4315,1.0801,1.3475,-0.70795,0.85836,-0.31829,2.0506,-0.10888,0.79857,0.13572,2.112,0.374,22.793,7.5977,1,0,0.44828,0.96552,0.034483
0,0.020443,0,0.020443,5.6713,0.88445,0.99295,0.76326,1.0353,0.69782,0.69782,0.35125,0.35829,0.57389,0.48719,-0.017593,1.73,1.7444,-0.032008,1.325,1.2526,1.5644,1.0132,21.093,7.0311,1,0,0.48276,0.96552,0
0.50844,0.45828,-0.11046,0.69335,2.1565,2.8395,-0.006529,3.2728,0.63479,1.1392,0.70367,4.4315,1.0801,1.3475,-0.70795,0.85836,-0.31829,2.0506,-0.10888,0.79857,0.13572,2.112,0.374,22.793,7.5977,1,0,0.48276,0.96552,0.034483
0,0.020443,0,0.020443,5.6713,0.88445,0.99295,0.76326,1.0353,0.69782,0.69782,0.35125,0.35829,0.57389,0.48719,-0.017593,1.73,1.7444,-0.032008,1.325,1.2526,1.5644,1.0132,21.093,7.0311,1,0,0.51724,0.96552,0
0.50844,0.45828,-0.11046,0.69335,2.1565,2.8395,-0.006529,3.2728,0.63479,1.1392,0.70367,4.4315,1.0801,1.3475,-0.70795,0.85836,-0.31829,2.0506,-0.10888,0.79857,0.13572,2.112,0.374,22.793,7.5977,1,0,0.51724,0.96552,0.034483
0,0.020443,0,0.020443,5.6713,0.88445,0.99295,0.76326,1.0353,0.69782,0.69782,0.35125,0.35829,0.57389,0.48719,-0.017593,1.73,1.7444,-0.032008,1.325,1.2526,1.5644,1.0132,21.093,7.0311,1,0,0.55172,0.96552,0
0.50844,0.45828,-0.11046,0.69335,2.1565,2.8395,-0.006529,3.2728,0.63479,1.1392,0.70367,4.4315,1.0801,1.3475,-0.70795,0.85836,-0.31829,2.0506,-0.10888,0.79857,0.13572,2.112,0.374,22.793,7.5977,1,0,0.55172,0.96552,0.034483
0,0.020443,0,0.020443,5.6713,0.88445,0.99295,0.76326,1.0353,0.69782,0.69782,0.35125,0.35829,0.57389,0.48719,-0.017593,1.73,1.7444,-0.032008,1.325,1.2526,1.5644,1.0132,21.093,7.0311,1,0,0.58621,0.96552,0
0.50844,0.45828,-0.11046,0.69335,2.1565,2.8395,-0.006529,3.2728,0.63479,1.1392,0.70367,4.4315,1.0801,1.3475,-0.70795,0.85836,-0.31829,2.0506,-0.10888,0.79857,0.13572,2.112,0.374,22.793,7.5977,1,0,0.58621,0.96552,0.034483
0,0.020443,0,0.020443,5.6713,0.88445,0.99295,0.76326,1.0353,0.69782,0.69782,0.35125,0.35829,0.57389,0.48719,-0.017593,1.73,1.7444,-0.032008,1.325,1.2526,1.5644,1.0132,21.093,7.0311,1,0,0.62069,0.96552,0
0.50844,0.45828,-0.11046,0.69335,2.1565,2.8395,-0.006529,3.2728,0.63479,1.1392,0.70367,4.4315,1.0801,1.3475,-0.70795,0.85836,-0.31829,2.0506,-0.10888,0.79857,0.13572,2.112,0.374,22.793,7.5977,1,0,0.62069,0.96552,0.034483
0,0.020443,0,0.020443,5.6713,0.88445,0.99295,0.76326,1.0353,0.69782,0.69782,0.35125,0.35829,0.57389,0.48719,-0.017593,1.73,1.7444,-0.032008,1.325,1.2526,1.5644,1.0132,21.093,7.0311,1,0,0.65517,0.96552,0
0.50844,0.45828,-0.11046,0.69335,2.1565,2.8395,-0.006529,3.2728,0.63479,1.1392,0.70367,4.4315,1.0801,1.3475,-0.70795,0.85836,-0.31829,2.0506,-0.10888,0.79857,0.13572,2.112,0.374,22.793,7.5977,1,0,0.65517,0.96552,0.034483
0,0.020443,0,0.020443,5.6713,0.88445,0.99295,0.76326,1.0353,0.69782,0.69782,0.35125,0.35829,0.57389,0.48719,-0.017593,1.73,1.7444,-0.032008,1.325,1.2526,1.5644,1.0132,21.093,7.0311,1,0,0.68966,0.96552,0
0.50844,0.45828,-0.11046,0.69335,2.1565,2.8395,-0.006529,3.2728,0.63479,1.1392,0.70367,4.4315,1.0801,1.3475,-0.70795,0.85836,-0.31829,2.0506,-0.10888,0.79857,0.13572,2.112,0.374,22.793,7.5977,1,0,0.68966,0.96552,0.034483
0,0.020443,0,0.020443,5.6713,0.88445,0.99295,0.76326,1.0353,0.69782,0.69782,0.35125,0.35829,0.57389,0.48719,-0.017593,1.73,1.7444,-0.032008,1.325,1.2526,1.5644,1.0132,21.093,7.0311,1,0,0.72414,0.96552,0
0.50844,0.45828,-0.11046,0.69335,2.1565,2.8395,-0.006529,3.2728,0.63479,1.1392,0.70367,4.4315,1.0801,1.3475,-0.70795,0.85836,-0.31829,2.0506,-0.10888,0.79857,0.13572,2.112,0.374,22.793,7.5977,1,0,0.72414,0.96552,0.034483
0,0.020895,0,0.020895,5.6713,0.88445,0.9386,0.76326,1.0353,0.69782,0.69782,0.35125,0.3523,0.57389,0.46475,0.040757,1.7713,1.7444,0.067733,1.3168,1.2608,1.5644,1.0132,21.21,7.07,1,0,0.75862,0.96552,0
0.50788,0.46171,-0.11084,0.69527,2.1565,2.8395,0.044113,3.2728,0.63479,1.1392,0.70367,4.4315,1.0419,1.3475,-0.75185,0.85836,-0.30308,2.0506,-0.084089,0.79857,0.13572,2.112,0.374,22.802,7.6005,1,0,0.75862,0.96552,0.034483
-0,0.020356,-0,0.020356,5.6079,0.88445,0.91118,0.7507,0.99041,0.70283,0.70283,0.35125,0.36381,0.57389,0.48586,-0.15219,1.7687,1.7444,-0.12781,1.3165,1.225,1.5172,1.0243,20.641,6.8804,1,0,0.7931,0.96552,0
0.50416,0.43493,-0.10012,0.67332,2.3554,2.8395,-0.21679,3.2124,0.65773,1.1286,0.72371,4.4315,1.3259,1.3475,-0.62773,0.85836,-0.24785,2.0506,-0.25509,0.79177,0.1133,2.0337,0.38472,22.907,7.6357,1,0,0.7931,0.96552,0.034483
-0,0.017799,0,0.017799,5.8647,0.8739,0.79717,0.77781,1.0372,0.79144,0.79144,0.34497,0.3567,0.55166,0.47559,0.035635,1.7877,1.7171,0.10617,1.3506,1.448,1.7405,1.0581,21.906,7.3021,1,0,0.82759,0.96552,0
0.48914,0.48073,-0.11925,0.69612,2.18,2.8481,0.23137,3.4512,0.52672,1.1536,0.72791,4.4013,0.9551,1.3466,-0.81564,0.89754,-0.25927,2.0526,0.032815,0.81659,0.094121,2.3096,0.35937,23.31,7.7699,1,0,0.82759,0.96552,0.034483
