Printing from thread 7
   ID   |  i |  j |  k ||    x    |    y    |    z
  18900 |  0 |  0 | 21 || 0.00000 | 0.00000 | 0.72414 
  18901 |  1 |  0 | 21 || 0.03448 | 0.00000 | 0.72414 
  18902 |  2 |  0 | 21 || 0.06897 | 0.00000 | 0.72414 
  18903 |  3 |  0 | 21 || 0.10345 | 0.00000 | 0.72414 
  18904 |  4 |  0 | 21 || 0.13793 | 0.00000 | 0.72414 
  18905 |  5 |  0 | 21 || 0.17241 | 0.00000 | 0.72414 
  18906 |  6 |  0 | 21 || 0.20690 | 0.00000 | 0.72414 
  18907 |  7 |  0 | 21 || 0.24138 | 0.00000 | 0.72414 
  18908 |  8 |  0 | 21 || 0.27586 | 0.00000 | 0.72414 
  18909 |  9 |  0 | 21 || 0.31034 | 0.00000 | 0.72414 
  18910 | 10 |  0 | 21 || 0.34483 | 0.00000 | 0.72414 
  18911 | 11 |  0 | 21 || 0.37931 | 0.00000 | 0.72414 
  18912 | 12 |  0 | 21 || 0.41379 | 0.00000 | 0.72414 
  18913 | 13 |  0 | 21 || 0.44828 | 0.00000 | 0.72414 
  18914 | 14 |  0 | 21 || 0.48276 | 0.00000 | 0.72414 
  18915 | 15 |  0 | 21 || 0.51724 | 0.00000 | 0.72414 
  18916 | 16 |  0 | 21 || 0.55172 | 0.00000 | 0.72414 
  18917 | 17 |  0 | 21 || 0.58621 | 0.00000 | 0.72414 
  18918 | 18 |  0 | 21 || 0.62069 | 0.00000 | 0.72414 
  18919 | 19 |  0 | 21 || 0.65517 | 0.00000 | 0.72414 
  18920 | 20 |  0 | 21 || 0.68966 | 0.00000 | 0.72414 
  18921 | 21 |  0 | 21 || 0.72414 | 0.00000 | 0.72414 
  18922 | 22 |  0 | 21 || 0.75862 | 0.00000 | 0.72414 
  18923 | 23 |  0 | 21 || 0.79310 | 0.00000 | 0.72414 
  18924 | 24 |  0 | 21 || 0.82759 | 0.00000 | 0.72414 
  18925 | 25 |  0 | 21 || 0.86207 | 0.00000 | 0.72414 
  18926 | 26 |  0 | 21 || 0.89655 | 0.00000 | 0.72414 
  18927 | 27 |  0 | 21 || 0.93103 | 0.00000 | 0.72414 
  18928 | 28 |  0 | 21 || 0.96552 | 0.00000 | 0.72414 
  18929 | 29 |  0 | 21 || 1.00000 | 0.00000 | 0.72414 
  18930 |  0 |  1 | 21 || 0.00000 | 0.03448 | 0.72414 
  18931 |  1 |  1 | 21 || 0.03448 | 0.03448 | 0.72414 
  18932 |  2 |  1 | 21 || 0.06897 | 0.03448 | 0.72414 
  18933 |  3 |  1 | 21 || 0.10345 | 0.03448 | 0.72414 
  18934 |  4 |  1 | 21 || 0.13793 | 0.03448 | 0.72414 
  18935 |  5 |  1 | 21 || 0.17241 | 0.03448 | 0.72414 
  18936 |  6 |  1 | 21 || 0.20690 | 0.03448 | 0.72414 
  18937 |  7 |  1 | 21 || 0.24138 | 0.03448 | 0.72414 
  18938 |  8 |  1 | 21 || 0.27586 | 0.03448 | 0.72414 
  18939 |  9 |  1 | 21 || 0.31034 | 0.03448 | 0.72414 
  18940 | 10 |  1 | 21 || 0.34483 | 0.03448 | 0.72414 
  18941 | 11 |  1 | 21 || 0.37931 | 0.03448 | 0.72414 
  18942 | 12 |  1 | 21 || 0.41379 | 0.03448 | 0.72414 
  18943 | 13 |  1 | 21 || 0.44828 | 0.03448 | 0.72414 
  18944 | 14 |  1 | 21 || 0.48276 | 0.03448 | 0.72414 
  18945 | 15 |  1 | 21 || 0.51724 | 0.03448 | 0.72414 
  18946 | 16 |  1 | 21 || 0.55172 | 0.03448 | 0.72414 
  18947 | 17 |  1 | 21 || 0.58621 | 0.03448 | 0.72414 
  18948 | 18 |  1 | 21 || 0.62069 | 0.03448 | 0.72414 
  18949 | 19 |  1 | 21 || 0.65517 | 0.03448 | 0.72414 
  18950 | 20 |  1 | 21 || 0.68966 | 0.03448 | 0.72414 
  18951 | 21 |  1 | 21 || 0.72414 | 0.03448 | 0.72414 
  18952 | 22 |  1 | 21 || 0.75862 | 0.03448 | 0.72414 
  18953 | 23 |  1 | 21 || 0.79310 | 0.03448 | 0.72414 
  18954 | 24 |  1 | 21 || 0.82759 | 0.03448 | 0.72414 
  18955 | 25 |  1 | 21 || 0.86207 | 0.03448 | 0.72414 
  18956 | 26 |  1 | 21 || 0.89655 | 0.03448 | 0.72414 
  18957 | 27 |  1 | 21 || 0.93103 | 0.03448 | 0.72414 
  18958 | 28 |  1 | 21 || 0.96552 | 0.03448 | 0.72414 
  18959 | 29 |  1 | 21 || 1.00000 | 0.03448 | 0.72414 
  18960 |  0 |  2 | 21 || 0.00000 | 0.06897 | 0.72414 
  18961 |  1 |  2 | 21 || 0.03448 | 0.06897 | 0.72414 
  18962 |  2 |  2 | 21 || 0.06897 | 0.06897 | 0.72414 
  18963 |  3 |  2 | 21 || 0.10345 | 0.06897 | 0.72414 
  18964 |  4 |  2 | 21 || 0.13793 | 0.06897 | 0.72414 
  18965 |  5 |  2 | 21 || 0.17241 | 0.06897 | 0.72414 
  18966 |  6 |  2 | 21 || 0.20690 | 0.06897 | 0.72414 
  18967 |  7 |  2 | 21 || 0.24138 | 0.06897 | 0.72414 
  18968 |  8 |  2 | 21 || 0.27586 | 0.06897 | 0.72414 
  18969 |  9 |  2 | 21 || 0.31034 | 0.06897 | 0.72414 
