Printing from thread 8
   ID   |  i |  j |  k ||    x    |    y    |    z
  21600 |  0 |  0 | 24 || 0.00000 | 0.00000 | 0.82759 
  21601 |  1 |  0 | 24 || 0.03448 | 0.00000 | 0.82759 
  21602 |  2 |  0 | 24 || 0.06897 | 0.00000 | 0.82759 
  21603 |  3 |  0 | 24 || 0.10345 | 0.00000 | 0.82759 
  21604 |  4 |  0 | 24 || 0.13793 | 0.00000 | 0.82759 
  21605 |  5 |  0 | 24 || 0.17241 | 0.00000 | 0.82759 
  21606 |  6 |  0 | 24 || 0.20690 | 0.00000 | 0.82759 
  21607 |  7 |  0 | 24 || 0.24138 | 0.00000 | 0.82759 
  21608 |  8 |  0 | 24 || 0.27586 | 0.00000 | 0.82759 
  21609 |  9 |  0 | 24 || 0.31034 | 0.00000 | 0.82759 
  21610 | 10 |  0 | 24 || 0.34483 | 0.00000 | 0.82759 
  21611 | 11 |  0 | 24 || 0.37931 | 0.00000 | 0.82759 
  21612 | 12 |  0 | 24 || 0.41379 | 0.00000 | 0.82759 
  21613 | 13 |  0 | 24 || 0.44828 | 0.00000 | 0.82759 
  21614 | 14 |  0 | 24 || 0.48276 | 0.00000 | 0.82759 
  21615 | 15 |  0 | 24 || 0.51724 | 0.00000 | 0.82759 
  21616 | 16 |  0 | 24 || 0.55172 | 0.00000 | 0.82759 
  21617 | 17 |  0 | 24 || 0.58621 | 0.00000 | 0.82759 
  21618 | 18 |  0 | 24 || 0.62069 | 0.00000 | 0.82759 
  21619 | 19 |  0 | 24 || 0.65517 | 0.00000 | 0.82759 
  21620 | 20 |  0 | 24 || 0.68966 | 0.00000 | 0.82759 
  21621 | 21 |  0 | 24 || 0.72414 | 0.00000 | 0.82759 
  21622 | 22 |  0 | 24 || 0.75862 | 0.00000 | 0.82759 
  21623 | 23 |  0 | 24 || 0.79310 | 0.00000 | 0.82759 
  21624 | 24 |  0 | 24 || 0.82759 | 0.00000 | 0.82759 
  21625 | 25 |  0 | 24 || 0.86207 | 0.00000 | 0.82759 
  21626 | 26 |  0 | 24 || 0.89655 | 0.00000 | 0.82759 
  21627 | 27 |  0 | 24 || 0.93103 | 0.00000 | 0.82759 
  21628 | 28 |  0 | 24 || 0.96552 | 0.00000 | 0.82759 
  21629 | 29 |  0 | 24 || 1.00000 | 0.00000 | 0.82759 
  21630 |  0 |  1 | 24 || 0.00000 | 0.03448 | 0.82759 
  21631 |  1 |  1 | 24 || 0.03448 | 0.03448 | 0.82759 
