Printing from thread 4
   ID   |  i |  j |  k ||    x    |    y    |    z
  10800 |  0 |  0 | 12 || 0.00000 | 0.00000 | 0.41379 
  10801 |  1 |  0 | 12 || 0.03448 | 0.00000 | 0.41379 
  10802 |  2 |  0 | 12 || 0.06897 | 0.00000 | 0.41379 
  10803 |  3 |  0 | 12 || 0.10345 | 0.00000 | 0.41379 
  10804 |  4 |  0 | 12 || 0.13793 | 0.00000 | 0.41379 
  10805 |  5 |  0 | 12 || 0.17241 | 0.00000 | 0.41379 
  10806 |  6 |  0 | 12 || 0.20690 | 0.00000 | 0.41379 
  10807 |  7 |  0 | 12 || 0.24138 | 0.00000 | 0.41379 
  10808 |  8 |  0 | 12 || 0.27586 | 0.00000 | 0.41379 
  10809 |  9 |  0 | 12 || 0.31034 | 0.00000 | 0.41379 
  10810 | 10 |  0 | 12 || 0.34483 | 0.00000 | 0.41379 
  10811 | 11 |  0 | 12 || 0.37931 | 0.00000 | 0.41379 
  10812 | 12 |  0 | 12 || 0.41379 | 0.00000 | 0.41379 
  10813 | 13 |  0 | 12 || 0.44828 | 0.00000 | 0.41379 
  10814 | 14 |  0 | 12 || 0.48276 | 0.00000 | 0.41379 
  10815 | 15 |  0 | 12 || 0.51724 | 0.00000 | 0.41379 
  10816 | 16 |  0 | 12 || 0.55172 | 0.00000 | 0.41379 
  10817 | 17 |  0 | 12 || 0.58621 | 0.00000 | 0.41379 
  10818 | 18 |  0 | 12 || 0.62069 | 0.00000 | 0.41379 
  10819 | 19 |  0 | 12 || 0.65517 | 0.00000 | 0.41379 
  10820 | 20 |  0 | 12 || 0.68966 | 0.00000 | 0.41379 
  10821 | 21 |  0 | 12 || 0.72414 | 0.00000 | 0.41379 
  10822 | 22 |  0 | 12 || 0.75862 | 0.00000 | 0.41379 
  10823 | 23 |  0 | 12 || 0.79310 | 0.00000 | 0.41379 
  10824 | 24 |  0 | 12 || 0.82759 | 0.00000 | 0.41379 
  10825 | 25 |  0 | 12 || 0.86207 | 0.00000 | 0.41379 
  10826 | 26 |  0 | 12 || 0.89655 | 0.00000 | 0.41379 
  10827 | 27 |  0 | 12 || 0.93103 | 0.00000 | 0.41379 
  10828 | 28 |  0 | 12 || 0.96552 | 0.00000 | 0.41379 
  10829 | 29 |  0 | 12 || 1.00000 | 0.00000 | 0.41379 
  10830 |  0 |  1 | 12 || 0.00000 | 0.03448 | 0.41379 
  10831 |  1 |  1 | 12 || 0.03448 | 0.03448 | 0.41379 
  10832 |  2 |  1 | 12 || 0.06897 | 0.03448 | 0.41379 
  10833 |  3 |  1 | 12 || 0.10345 | 0.03448 | 0.41379 
  10834 |  4 |  1 | 12 || 0.13793 | 0.03448 | 0.41379 
  10835 |  5 |  1 | 12 || 0.17241 | 0.03448 | 0.41379 
  10836 |  6 |  1 | 12 || 0.20690 | 0.03448 | 0.41379 
  10837 |  7 |  1 | 12 || 0.24138 | 0.03448 | 0.41379 
  10838 |  8 |  1 | 12 || 0.27586 | 0.03448 | 0.41379 
  10839 |  9 |  1 | 12 || 0.31034 | 0.03448 | 0.41379 
  10840 | 10 |  1 | 12 || 0.34483 | 0.03448 | 0.41379 
  10841 | 11 |  1 | 12 || 0.37931 | 0.03448 | 0.41379 
  10842 | 12 |  1 | 12 || 0.41379 | 0.03448 | 0.41379 
  10843 | 13 |  1 | 12 || 0.44828 | 0.03448 | 0.41379 
  10844 | 14 |  1 | 12 || 0.48276 | 0.03448 | 0.41379 
  10845 | 15 |  1 | 12 || 0.51724 | 0.03448 | 0.41379 
  10846 | 16 |  1 | 12 || 0.55172 | 0.03448 | 0.41379 
  10847 | 17 |  1 | 12 || 0.58621 | 0.03448 | 0.41379 
  10848 | 18 |  1 | 12 || 0.62069 | 0.03448 | 0.41379 
  10849 | 19 |  1 | 12 || 0.65517 | 0.03448 | 0.41379 
  10850 | 20 |  1 | 12 || 0.68966 | 0.03448 | 0.41379 
  10851 | 21 |  1 | 12 || 0.72414 | 0.03448 | 0.41379 
  10852 | 22 |  1 | 12 || 0.75862 | 0.03448 | 0.41379 
  10853 | 23 |  1 | 12 || 0.79310 | 0.03448 | 0.41379 
  10854 | 24 |  1 | 12 || 0.82759 | 0.03448 | 0.41379 
  10855 | 25 |  1 | 12 || 0.86207 | 0.03448 | 0.41379 
  10856 | 26 |  1 | 12 || 0.89655 | 0.03448 | 0.41379 
  10857 | 27 |  1 | 12 || 0.93103 | 0.03448 | 0.41379 
  10858 | 28 |  1 | 12 || 0.96552 | 0.03448 | 0.41379 
  10859 | 29 |  1 | 12 || 1.00000 | 0.03448 | 0.41379 
  10860 |  0 |  2 | 12 || 0.00000 | 0.06897 | 0.41379 
  10861 |  1 |  2 | 12 || 0.03448 | 0.06897 | 0.41379 
  10862 |  2 |  2 | 12 || 0.06897 | 0.06897 | 0.41379 
  10863 |  3 |  2 | 12 || 0.10345 | 0.06897 | 0.41379 
  10864 |  4 |  2 | 12 || 0.13793 | 0.06897 | 0.41379 
  10865 |  5 |  2 | 12 || 0.17241 | 0.06897 | 0.41379 
  10866 |  6 |  2 | 12 || 0.20690 | 0.06897 | 0.41379 
  10867 |  7 |  2 | 12 || 0.24138 | 0.06897 | 0.41379 
  10868 |  8 |  2 | 12 || 0.27586 | 0.06897 | 0.41379 
  10869 |  9 |  2 | 12 || 0.31034 | 0.06897 | 0.41379 
