Printing from thread 5
   ID   |  i |  j |  k ||    x    |    y    |    z
  13500 |  0 |  0 | 15 || 0.00000 | 0.00000 | 0.51724 
  13501 |  1 |  0 | 15 || 0.03448 | 0.00000 | 0.51724 
  13502 |  2 |  0 | 15 || 0.06897 | 0.00000 | 0.51724 
  13503 |  3 |  0 | 15 || 0.10345 | 0.00000 | 0.51724 
  13504 |  4 |  0 | 15 || 0.13793 | 0.00000 | 0.51724 
  13505 |  5 |  0 | 15 || 0.17241 | 0.00000 | 0.51724 
  13506 |  6 |  0 | 15 || 0.20690 | 0.00000 | 0.51724 
  13507 |  7 |  0 | 15 || 0.24138 | 0.00000 | 0.51724 
  13508 |  8 |  0 | 15 || 0.27586 | 0.00000 | 0.51724 
  13509 |  9 |  0 | 15 || 0.31034 | 0.00000 | 0.51724 
  13510 | 10 |  0 | 15 || 0.34483 | 0.00000 | 0.51724 
  13511 | 11 |  0 | 15 || 0.37931 | 0.00000 | 0.51724 
  13512 | 12 |  0 | 15 || 0.41379 | 0.00000 | 0.51724 
  13513 | 13 |  0 | 15 || 0.44828 | 0.00000 | 0.51724 
  13514 | 14 |  0 | 15 || 0.48276 | 0.00000 | 0.51724 
  13515 | 15 |  0 | 15 || 0.51724 | 0.00000 | 0.51724 
  13516 | 16 |  0 | 15 || 0.55172 | 0.00000 | 0.51724 
  13517 | 17 |  0 | 15 || 0.58621 | 0.00000 | 0.51724 
  13518 | 18 |  0 | 15 || 0.62069 | 0.00000 | 0.51724 
  13519 | 19 |  0 | 15 || 0.65517 | 0.00000 | 0.51724 
  13520 | 20 |  0 | 15 || 0.68966 | 0.00000 | 0.51724 
  13521 | 21 |  0 | 15 || 0.72414 | 0.00000 | 0.51724 
  13522 | 22 |  0 | 15 || 0.75862 | 0.00000 | 0.51724 
  13523 | 23 |  0 | 15 || 0.79310 | 0.00000 | 0.51724 
  13524 | 24 |  0 | 15 || 0.82759 | 0.00000 | 0.51724 
  13525 | 25 |  0 | 15 || 0.86207 | 0.00000 | 0.51724 
  13526 | 26 |  0 | 15 || 0.89655 | 0.00000 | 0.51724 
  13527 | 27 |  0 | 15 || 0.93103 | 0.00000 | 0.51724 
  13528 | 28 |  0 | 15 || 0.96552 | 0.00000 | 0.51724 
  13529 | 29 |  0 | 15 || 1.00000 | 0.00000 | 0.51724 
  13530 |  0 |  1 | 15 || 0.00000 | 0.03448 | 0.51724 
  13531 |  1 |  1 | 15 || 0.03448 | 0.03448 | 0.51724 
  13532 |  2 |  1 | 15 || 0.06897 | 0.03448 | 0.51724 
  13533 |  3 |  1 | 15 || 0.10345 | 0.03448 | 0.51724 
  13534 |  4 |  1 | 15 || 0.13793 | 0.03448 | 0.51724 
  13535 |  5 |  1 | 15 || 0.17241 | 0.03448 | 0.51724 
  13536 |  6 |  1 | 15 || 0.20690 | 0.03448 | 0.51724 
  13537 |  7 |  1 | 15 || 0.24138 | 0.03448 | 0.51724 
  13538 |  8 |  1 | 15 || 0.27586 | 0.03448 | 0.51724 
  13539 |  9 |  1 | 15 || 0.31034 | 0.03448 | 0.51724 
  13540 | 10 |  1 | 15 || 0.34483 | 0.03448 | 0.51724 
  13541 | 11 |  1 | 15 || 0.37931 | 0.03448 | 0.51724 
