Printing from thread 1
   ID   |  i |  j |  k ||    x    |    y    |    z
   2700 |  0 |  0 |  3 || 0.00000 | 0.00000 | 0.10345 
   2701 |  1 |  0 |  3 || 0.03448 | 0.00000 | 0.10345 
   2702 |  2 |  0 |  3 || 0.06897 | 0.00000 | 0.10345 
   2703 |  3 |  0 |  3 || 0.10345 | 0.00000 | 0.10345 
   2704 |  4 |  0 |  3 || 0.13793 | 0.00000 | 0.10345 
   2705 |  5 |  0 |  3 || 0.17241 | 0.00000 | 0.10345 
   2706 |  6 |  0 |  3 || 0.20690 | 0.00000 | 0.10345 
   2707 |  7 |  0 |  3 || 0.24138 | 0.00000 | 0.10345 
   2708 |  8 |  0 |  3 || 0.27586 | 0.00000 | 0.10345 
   2709 |  9 |  0 |  3 || 0.31034 | 0.00000 | 0.10345 
   2710 | 10 |  0 |  3 || 0.34483 | 0.00000 | 0.10345 
   2711 | 11 |  0 |  3 || 0.37931 | 0.00000 | 0.10345 
   2712 | 12 |  0 |  3 || 0.41379 | 0.00000 | 0.10345 
   2713 | 13 |  0 |  3 || 0.44828 | 0.00000 | 0.10345 
   2714 | 14 |  0 |  3 || 0.48276 | 0.00000 | 0.10345 
   2715 | 15 |  0 |  3 || 0.51724 | 0.00000 | 0.10345 
   2716 | 16 |  0 |  3 || 0.55172 | 0.00000 | 0.10345 
   2717 | 17 |  0 |  3 || 0.58621 | 0.00000 | 0.10345 
   2718 | 18 |  0 |  3 || 0.62069 | 0.00000 | 0.10345 
   2719 | 19 |  0 |  3 || 0.65517 | 0.00000 | 0.10345 
   2720 | 20 |  0 |  3 || 0.68966 | 0.00000 | 0.10345 
   2721 | 21 |  0 |  3 || 0.72414 | 0.00000 | 0.10345 
   2722 | 22 |  0 |  3 || 0.75862 | 0.00000 | 0.10345 
   2723 | 23 |  0 |  3 || 0.79310 | 0.00000 | 0.10345 
   2724 | 24 |  0 |  3 || 0.82759 | 0.00000 | 0.10345 
   2725 | 25 |  0 |  3 || 0.86207 | 0.00000 | 0.10345 
   2726 | 26 |  0 |  3 || 0.89655 | 0.00000 | 0.10345 
   2727 | 27 |  0 |  3 || 0.93103 | 0.00000 | 0.10345 
   2728 | 28 |  0 |  3 || 0.96552 | 0.00000 | 0.10345 
   2729 | 29 |  0 |  3 || 1.00000 | 0.00000 | 0.10345 
   2730 |  0 |  1 |  3 || 0.00000 | 0.03448 | 0.10345 
   2731 |  1 |  1 |  3 || 0.03448 | 0.03448 | 0.10345 
   2732 |  2 |  1 |  3 || 0.06897 | 0.03448 | 0.10345 
   2733 |  3 |  1 |  3 || 0.10345 | 0.03448 | 0.10345 
   2734 |  4 |  1 |  3 || 0.13793 | 0.03448 | 0.10345 
   2735 |  5 |  1 |  3 || 0.17241 | 0.03448 | 0.10345 
   2736 |  6 |  1 |  3 || 0.20690 | 0.03448 | 0.10345 
   2737 |  7 |  1 |  3 || 0.24138 | 0.03448 | 0.10345 
   2738 |  8 |  1 |  3 || 0.27586 | 0.03448 | 0.10345 
   2739 |  9 |  1 |  3 || 0.31034 | 0.03448 | 0.10345 
   2740 | 10 |  1 |  3 || 0.34483 | 0.03448 | 0.10345 
   2741 | 11 |  1 |  3 || 0.37931 | 0.03448 | 0.10345 
   2742 | 12 |  1 |  3 || 0.41379 | 0.03448 | 0.10345 
   2743 | 13 |  1 |  3 || 0.44828 | 0.03448 | 0.10345 
   2744 | 14 |  1 |  3 || 0.48276 | 0.03448 | 0.10345 
   2745 | 15 |  1 |  3 || 0.51724 | 0.03448 | 0.10345 
   2746 | 16 |  1 |  3 || 0.55172 | 0.03448 | 0.10345 
   2747 | 17 |  1 |  3 || 0.58621 | 0.03448 | 0.10345 
   2748 | 18 |  1 |  3 || 0.62069 | 0.03448 | 0.10345 
   2749 | 19 |  1 |  3 || 0.65517 | 0.03448 | 0.10345 
   2750 | 20 |  1 |  3 || 0.68966 | 0.03448 | 0.10345 
   2751 | 21 |  1 |  3 || 0.72414 | 0.03448 | 0.10345 
   2752 | 22 |  1 |  3 || 0.75862 | 0.03448 | 0.10345 
   2753 | 23 |  1 |  3 || 0.79310 | 0.03448 | 0.10345 
   2754 | 24 |  1 |  3 || 0.82759 | 0.03448 | 0.10345 
   2755 | 25 |  1 |  3 || 0.86207 | 0.03448 | 0.10345 
   2756 | 26 |  1 |  3 || 0.89655 | 0.03448 | 0.10345 
   2757 | 27 |  1 |  3 || 0.93103 | 0.03448 | 0.10345 
   2758 | 28 |  1 |  3 || 0.96552 | 0.03448 | 0.10345 
   2759 | 29 |  1 |  3 || 1.00000 | 0.03448 | 0.10345 
   2760 |  0 |  2 |  3 || 0.00000 | 0.06897 | 0.10345 
   2761 |  1 |  2 |  3 || 0.03448 | 0.06897 | 0.10345 
   2762 |  2 |  2 |  3 || 0.06897 | 0.06897 | 0.10345 
   2763 |  3 |  2 |  3 || 0.10345 | 0.06897 | 0.10345 
   2764 |  4 |  2 |  3 || 0.13793 | 0.06897 | 0.10345 
   2765 |  5 |  2 |  3 || 0.17241 | 0.06897 | 0.10345 
   2766 |  6 |  2 |  3 || 0.20690 | 0.06897 | 0.10345 
   2767 |  7 |  2 |  3 || 0.24138 | 0.06897 | 0.10345 
   2768 |  8 |  2 |  3 || 0.27586 | 0.06897 | 0.10345 
   2769 |  9 |  2 |  3 || 0.31034 | 0.06897 | 0.10345 
