Printing from thread 9
   ID   |  i |  j |  k ||    x    |    y    |    z
  24300 |  0 |  0 | 27 || 0.00000 | 0.00000 | 0.93103 
  24301 |  1 |  0 | 27 || 0.03448 | 0.00000 | 0.93103 
  24302 |  2 |  0 | 27 || 0.06897 | 0.00000 | 0.93103 
  24303 |  3 |  0 | 27 || 0.10345 | 0.00000 | 0.93103 
  24304 |  4 |  0 | 27 || 0.13793 | 0.00000 | 0.93103 
  24305 |  5 |  0 | 27 || 0.17241 | 0.00000 | 0.93103 
  24306 |  6 |  0 | 27 || 0.20690 | 0.00000 | 0.93103 
  24307 |  7 |  0 | 27 || 0.24138 | 0.00000 | 0.93103 
  24308 |  8 |  0 | 27 || 0.27586 | 0.00000 | 0.93103 
  24309 |  9 |  0 | 27 || 0.31034 | 0.00000 | 0.93103 
  24310 | 10 |  0 | 27 || 0.34483 | 0.00000 | 0.93103 
  24311 | 11 |  0 | 27 || 0.37931 | 0.00000 | 0.93103 
  24312 | 12 |  0 | 27 || 0.41379 | 0.00000 | 0.93103 
  24313 | 13 |  0 | 27 || 0.44828 | 0.00000 | 0.93103 
  24314 | 14 |  0 | 27 || 0.48276 | 0.00000 | 0.93103 
  24315 | 15 |  0 | 27 || 0.51724 | 0.00000 | 0.93103 
  24316 | 16 |  0 | 27 || 0.55172 | 0.00000 | 0.93103 
  24317 | 17 |  0 | 27 || 0.58621 | 0.00000 | 0.93103 
  24318 | 18 |  0 | 27 || 0.62069 | 0.00000 | 0.93103 
  24319 | 19 |  0 | 27 || 0.65517 | 0.00000 | 0.93103 
  24320 | 20 |  0 | 27 || 0.68966 | 0.00000 | 0.93103 
  24321 | 21 |  0 | 27 || 0.72414 | 0.00000 | 0.93103 
  24322 | 22 |  0 | 27 || 0.75862 | 0.00000 | 0.93103 
  24323 | 23 |  0 | 27 || 0.79310 | 0.00000 | 0.93103 
  24324 | 24 |  0 | 27 || 0.82759 | 0.00000 | 0.93103 
  24325 | 25 |  0 | 27 || 0.86207 | 0.00000 | 0.93103 
  24326 | 26 |  0 | 27 || 0.89655 | 0.00000 | 0.93103 
  24327 | 27 |  0 | 27 || 0.93103 | 0.00000 | 0.93103 
  24328 | 28 |  0 | 27 || 0.96552 | 0.00000 | 0.93103 
  24329 | 29 |  0 | 27 || 1.00000 | 0.00000 | 0.93103 
  24330 |  0 |  1 | 27 || 0.00000 | 0.03448 | 0.93103 
  24331 |  1 |  1 | 27 || 0.03448 | 0.03448 | 0.93103 
  24332 |  2 |  1 | 27 || 0.06897 | 0.03448 | 0.93103 
  24333 |  3 |  1 | 27 || 0.10345 | 0.03448 | 0.93103 
  24334 |  4 |  1 | 27 || 0.13793 | 0.03448 | 0.93103 
  24335 |  5 |  1 | 27 || 0.17241 | 0.03448 | 0.93103 
  24336 |  6 |  1 | 27 || 0.20690 | 0.03448 | 0.93103 
  24337 |  7 |  1 | 27 || 0.24138 | 0.03448 | 0.93103 
  24338 |  8 |  1 | 27 || 0.27586 | 0.03448 | 0.93103 
  24339 |  9 |  1 | 27 || 0.31034 | 0.03448 | 0.93103 
  24340 | 10 |  1 | 27 || 0.34483 | 0.03448 | 0.93103 
  24341 | 11 |  1 | 27 || 0.37931 | 0.03448 | 0.93103 
  24342 | 12 |  1 | 27 || 0.41379 | 0.03448 | 0.93103 
  24343 | 13 |  1 | 27 || 0.44828 | 0.03448 | 0.93103 
  24344 | 14 |  1 | 27 || 0.48276 | 0.03448 | 0.93103 
  24345 | 15 |  1 | 27 || 0.51724 | 0.03448 | 0.93103 
  24346 | 16 |  1 | 27 || 0.55172 | 0.03448 | 0.93103 
  24347 | 17 |  1 | 27 || 0.58621 | 0.03448 | 0.93103 
  24348 | 18 |  1 | 27 || 0.62069 | 0.03448 | 0.93103 
  24349 | 19 |  1 | 27 || 0.65517 | 0.03448 | 0.93103 
  24350 | 20 |  1 | 27 || 0.68966 | 0.03448 | 0.93103 
