Printing from thread 0
   ID   |  i |  j |  k ||    x    |    y    |    z
    872 |872 |-26130 |  0 || 0.06897 | 1.00000 | 0.00000 
    873 |873 |-26160 |  0 || 0.10345 | 1.00000 | 0.00000 
    874 |874 |-26190 |  0 || 0.13793 | 1.00000 | 0.00000 
    875 |875 |-26220 |  0 || 0.17241 | 1.00000 | 0.00000 
    876 |876 |-26250 |  0 || 0.20690 | 1.00000 | 0.00000 
    877 |877 |-26280 |  0 || 0.24138 | 1.00000 | 0.00000 
    878 |878 |-26310 |  0 || 0.27586 | 1.00000 | 0.00000 
    879 |879 |-26340 |  0 || 0.31034 | 1.00000 | 0.00000 
    880 |880 |-26370 |  0 || 0.34483 | 1.00000 | 0.00000 
    881 |881 |-26400 |  0 || 0.37931 | 1.00000 | 0.00000 
    882 |882 |-26430 |  0 || 0.41379 | 1.00000 | 0.00000 
    883 |883 |-26460 |  0 || 0.44828 | 1.00000 | 0.00000 
    884 |884 |-26490 |  0 || 0.48276 | 1.00000 | 0.00000 
    885 |885 |-26520 |  0 || 0.51724 | 1.00000 | 0.00000 
    886 |886 |-26550 |  0 || 0.55172 | 1.00000 | 0.00000 
    887 |887 |-26580 |  0 || 0.58621 | 1.00000 | 0.00000 
    888 |888 |-26610 |  0 || 0.62069 | 1.00000 | 0.00000 
    889 |889 |-26640 |  0 || 0.65517 | 1.00000 | 0.00000 
    890 |890 |-26670 |  0 || 0.68966 | 1.00000 | 0.00000 
    891 |891 |-26700 |  0 || 0.72414 | 1.00000 | 0.00000 
    892 |892 |-26730 |  0 || 0.75862 | 1.00000 | 0.00000 
    893 |893 |-26760 |  0 || 0.79310 | 1.00000 | 0.00000 
    894 |894 |-26790 |  0 || 0.82759 | 1.00000 | 0.00000 
    895 |895 |-26820 |  0 || 0.86207 | 1.00000 | 0.00000 
    896 |896 |-26850 |  0 || 0.89655 | 1.00000 | 0.00000 
    897 |897 |-26880 |  0 || 0.93103 | 1.00000 | 0.00000 
    898 |898 |-26910 |  0 || 0.96552 | 1.00000 | 0.00000 
    900 |900 |-26970 |  1 || 0.00000 | 0.00000 | 0.03448 
    929 |929 |-27839 |  1 || 1.00000 | 0.00000 | 0.03448 
   1770 |1770 |-53041 |  1 || 0.00000 | 1.00000 | 0.03448 
   1799 |1799 |-53910 |  1 || 1.00000 | 1.00000 | 0.03448 
   1800 |1800 |-53940 |  2 || 0.00000 | 0.00000 | 0.06897 
   1829 |1829 |-54809 |  2 || 1.00000 | 0.00000 | 0.06897 
   2670 |2670 |-80011 |  2 || 0.00000 | 1.00000 | 0.06897 
   2699 |2699 |-80880 |  2 || 1.00000 | 1.00000 | 0.06897 
   2700 |2700 |-80910 |  3 || 0.00000 | 0.00000 | 0.10345 
   2729 |2729 |-81779 |  3 || 1.00000 | 0.00000 | 0.10345 
   3570 |3570 |-106981 |  3 || 0.00000 | 1.00000 | 0.10345 
   3599 |3599 |-107850 |  3 || 1.00000 | 1.00000 | 0.10345 
   3600 |3600 |-107880 |  4 || 0.00000 | 0.00000 | 0.13793 
   3629 |3629 |-108749 |  4 || 1.00000 | 0.00000 | 0.13793 
   4470 |4470 |-133951 |  4 || 0.00000 | 1.00000 | 0.13793 
   4499 |4499 |-134820 |  4 || 1.00000 | 1.00000 | 0.13793 
   4500 |4500 |-134850 |  5 || 0.00000 | 0.00000 | 0.17241 
   4529 |4529 |-135719 |  5 || 1.00000 | 0.00000 | 0.17241 
   5370 |5370 |-160921 |  5 || 0.00000 | 1.00000 | 0.17241 
   5399 |5399 |-161790 |  5 || 1.00000 | 1.00000 | 0.17241 
Printing from thread 1
   ID   |  i |  j |  k ||    x    |    y    |    z
   5400 |5400 |-161820 |  6 || 0.00000 | 0.00000 | 0.20690 
   5429 |5429 |-162689 |  6 || 1.00000 | 0.00000 | 0.20690 
   6270 |6270 |-187891 |  6 || 0.00000 | 1.00000 | 0.20690 
   6299 |6299 |-188760 |  6 || 1.00000 | 1.00000 | 0.20690 
   6300 |6300 |-188790 |  7 || 0.00000 | 0.00000 | 0.24138 
   6329 |6329 |-189659 |  7 || 1.00000 | 0.00000 | 0.24138 
   7170 |7170 |-214861 |  7 || 0.00000 | 1.00000 | 0.24138 
   7199 |7199 |-215730 |  7 || 1.00000 | 1.00000 | 0.24138 
   7200 |7200 |-215760 |  8 || 0.00000 | 0.00000 | 0.27586 
   7229 |7229 |-216629 |  8 || 1.00000 | 0.00000 | 0.27586 
   8070 |8070 |-241831 |  8 || 0.00000 | 1.00000 | 0.27586 
   8099 |8099 |-242700 |  8 || 1.00000 | 1.00000 | 0.27586 
   8100 |8100 |-242730 |  9 || 0.00000 | 0.00000 | 0.31034 
   8129 |8129 |-243599 |  9 || 1.00000 | 0.00000 | 0.31034 
   8970 |8970 |-268801 |  9 || 0.00000 | 1.00000 | 0.31034 
   8999 |8999 |-269670 |  9 || 1.00000 | 1.00000 | 0.31034 
   9000 |9000 |-269700 | 10 || 0.00000 | 0.00000 | 0.34483 
   9029 |9029 |-270569 | 10 || 1.00000 | 0.00000 | 0.34483 
   9870 |9870 |-295771 | 10 || 0.00000 | 1.00000 | 0.34483 
   9899 |9899 |-296640 | 10 || 1.00000 | 1.00000 | 0.34483 
